Food Item,Serving Size (g),Calories (kcal),Dietary preference,Allergens,Glycemic Index,Protein (g),Carbs (g),Fats (g),Meal Type
Egg,160,325,Non-Vegetarian,Gluten,61,26.74,8.9,27.13,Lunch
Shrimp,266,416,Non-Vegetarian,Gluten,54,47.53,24.51,35.88,Lunch
Cucumber,283,664,Vegetarian,Nuts,95,5.73,73.3,18.81,Breakfast
Corn,269,230,Vegetarian,Gluten,54,12.51,25.38,15.85,Breakfast
Chili Peppers,285,414,Vegetarian,Gluten,58,15.96,33.94,46.22,Dinner
Tofu,421,633,Vegetarian,None,21,22.55,69.92,12.56,Dinner
Zucchini,133,217,Vegetarian,None,41,10.26,32.79,28.6,Lunch
Oranges,206,217,Vegetarian,Shellfish,64,24.11,31.62,10.15,Breakfast
Quinoa,206,619,Vegetarian,Gluten,80,25.03,50.43,12.26,Lunch
Walnuts,342,575,Vegetarian,Nuts,27,41.67,61.22,17.93,Breakfast
Peas,67,54,Vegetarian,None,97,14.59,5.68,11.66,Snack
Nectarines,229,175,Vegetarian,None,95,41.16,73.18,38.86,Lunch
Apricots,160,584,Vegetarian,Shellfish,96,15.91,61.67,48.78,Lunch
Nectarines,253,650,Vegetarian,Shellfish,59,35.65,92.11,1.4,Snack
Beans,98,650,Vegetarian,Shellfish,82,19.76,45.53,6.44,Breakfast
Shrimp,428,230,Non-Vegetarian,Gluten,96,29.46,73.18,25.01,Snack
Peanuts,385,169,Vegetarian,Nuts,23,21.08,46.24,29.08,Snack
Macadamia,419,470,Vegetarian,Nuts,55,3.45,31.14,16.68,Snack
Kiwi,92,230,Vegetarian,Dairy,64,40.52,70.21,14.36,Snack
Carrot,372,179,Vegetarian,Shellfish,90,38.21,18.2,40.03,Breakfast
Nectarines,76,288,Vegetarian,Dairy,63,41.16,78.02,11.66,Lunch
Lamb,294,384,Non-Vegetarian,None,59,34.58,56.73,28.6,Snack
Salmon,92,533,Non-Vegetarian,Dairy,78,35.3,54.96,6.62,Snack
Chicken,160,318,Non-Vegetarian,None,77,39.32,48.29,26.44,Lunch
Chicken,463,217,Non-Vegetarian,Nuts,18,34.58,73.12,23.12,Dinner
Oat,229,615,Vegetarian,Shellfish,19,30.68,99.09,47.05,Dinner
Kiwi,213,556,Vegetarian,Shellfish,59,22.58,56.73,32.97,Dinner
Blackberries,499,288,Vegetarian,Dairy,82,19.64,45.53,16.02,Snack
Barley,200,168,Vegetarian,Shellfish,12,2.1,87.67,33.82,Dinner
Peanuts,449,284,Vegetarian,Dairy,54,42.95,74.18,10.61,Snack
Cheese,193,169,Vegetarian,Gluten,37,35.65,61.22,10.61,Snack
Yogurt,430,520,Vegetarian,Nuts,79,18.93,93.7,1.84,Snack
Onions,462,564,Vegetarian,Dairy,90,22.58,76.46,16.68,Breakfast
Turnips,333,536,Vegetarian,Gluten,47,46.26,18.2,15.52,Dinner
Tempeh,207,677,Vegetarian,Nuts,44,19.11,90.1,38.81,Lunch
Beans,311,513,Vegetarian,Dairy,95,8.48,0.56,12.26,Breakfast
Blueberries,174,469,Vegetarian,Shellfish,59,38.21,67.69,19.06,Dinner
Tempeh,380,156,Vegetarian,Gluten,78,44.47,65.18,28.8,Dinner
Watermelon,68,616,Vegetarian,None,86,24.52,88.15,7.68,Lunch
Turnips,59,470,Vegetarian,Nuts,97,21.08,64.62,23.51,Lunch
Pineapple,281,227,Vegetarian,Dairy,44,35.61,18.2,29.08,Snack
Peas,94,384,Vegetarian,Nuts,54,37.93,73.3,42.88,Dinner
Radishes,419,360,Vegetarian,Shellfish,71,37.8,28.35,6.44,Snack
Seitan,181,168,Vegetarian,None,21,24.11,55.32,23.12,Dinner
Tuna,230,570,Non-Vegetarian,Dairy,21,5.73,20.3,45.32,Breakfast
